pile_length_m,0.3_circular,0.3_rectangular,0.35_circular,0.35_rectangular,0.4_circular,0.4_rectangular
12.5,412.26320217549465,524.909811848987,533.0799275376372,678.7384442454747,665.765410085171,847.6788476372622
12.6,415.5980752024571,529.1559040635864,536.3888521574492,682.951497921967,675.1935023913883,859.6830675929515
12.7,416.47085893775323,530.2671668293668,536.7304416784432,683.3864232081639,675.242788774509,859.7458209649576
12.8,408.8233770592099,520.5300904839605,530.2219202493505,675.0995163468871,665.1249199174808,846.8633502277448
12.9,415.8298907698122,529.451060811028,538.4892968074583,685.6258671118862,675.4759802376407,860.0427295573115
13.0,428.0078099905458,544.9564691354565,554.1685465416714,705.5893079052644,695.8682292648975,886.0069474249023
13.1,435.7033879846824,554.754783357185,564.9953437096863,719.3744142024079,708.3436668304593,901.8911678712496
13.2,426.8885445424588,543.5313761058965,554.1580444603557,705.5759362400315,694.307187181354,884.0193669131389
13.3,428.5013581132312,545.5848741224895,554.0544239980013,705.4440025697184,691.8034203560651,880.831471980385
13.4,420.026879371476,534.7948326674691,540.5053217269162,688.1927497625114,672.7882233798002,856.620571239276
13.5,416.7028536945507,530.562551727893,534.9624081113525,681.1352929541246,667.1191576637239,849.402492587865
13.6,424.7528644154779,540.8121437133194,545.5932980652966,694.6709624392143,680.2251879850253,866.0896086674442
13.7,440.6622583029438,561.0686131436088,566.4960844256478,721.2852166283643,705.3573503321786,898.0888716125439
13.8,453.94474126622805,577.9803957047334,585.5862461370793,745.5915654347475,733.3826481127006,933.7717889996832
13.9,453.22201294816165,577.0601894300713,584.8422675490276,744.6443024760042,735.8893352421304,936.963402179152
14.0,461.96044909885813,588.1863118962814,589.593105551868,750.6932572918512,736.6512281923707,937.9334744122525
14.1,440.79255181883036,561.234508000458,571.5023223543302,727.6593567295156,709.7287917808898,903.6547637325372
14.2,439.9783539483542,560.1978390745287,567.109215106406,722.065878857196,701.1303185021055,892.7068475296404
14.3,451.09402280621043,574.3507482305322,575.0809705380236,732.2158331136887,718.0800257741091,914.2878851000407
14.4,448.7715001617206,571.3936205560252,567.0092471068482,721.9385956469513,711.7623748390695,906.2440020997151
14.5,452.74198595881717,576.4490000846978,580.3938874252046,738.9804489923389,731.4544703300086,931.3167567974796
14.6,451.1586169781673,574.4329920846272,584.5417705119565,744.2616977653295,732.1120465893792,932.1540088945895
14.7,461.39731329020486,587.4693051156474,599.6039938920634,763.4395162045163,747.8730730353509,952.2215710312172
14.8,460.45477887360335,586.2692330241566,595.7851104607677,758.5771628030566,742.8526758863695,945.8294028508587
14.9,476.29878691281573,606.4424506067837,612.0211516896605,779.2495325456334,761.0884384677695,969.047896897899
